Start Time:  3/31/2017 1:00:00 PM         Time Completed:  3/31/2017 1:36:15 PM     Elapsed Time:  00:36:14
Sample ID:     Magnetic Material

Experiment:    C:\DummyDir\file.exp
Data File:     C:\DummyDir\file.txt
Plot File:     C:\DummyDir\file.oc2
VSM Exp File:  C:\DummyDir\file.stp
VSM Data File: C:\DummyDir\file.dat

***DATA***

Field(G)	 Moment(emu)	
 866.652 	 0.0640489 	
 891.518 	 0.0656236 	
 916.471 	 0.0671825 	
 941.499 	 0.0687174 	
 966.555 	 0.0702449 	
 1088.33 	 0.0765038 	
 1338.56 	 0.0899543 	
 1588.28 	 0.101943 	
 1838.27 	 0.112335 	
 2088.62 	 0.121101 	
 2338.03 	 0.128311 	
 2588.52 	 0.134185 	
 2838.06 	 0.138886 	
 3088.51 	 0.14267 	
 3338.04 	 0.145694 	
 3588.5 	 0.148134 	
 3837.97 	 0.150095 	
 4088.53 	 0.151688 	
 4338.11 	 0.152985 	
 4588.39 	 0.154055 	
 4838.45 	 0.154944 	
 5198.43 	 0.155938 	
 5699.37 	 0.157049 	
 6198.29 	 0.157892 	
 6699.35 	 0.15855 	
 7198.32 	 0.159083 	
 7699.41 	 0.159527 	
 8198.26 	 0.15991 	
 8699.39 	 0.160249 	
 9198.83 	 0.160549 	
 9698.68 	 0.160814 	
 10199.2 	 0.161062 	
 10698.2 	 0.161291 	
 11199.2 	 0.161507 	
 11698.2 	 0.161712 	
 12199 	 0.161903 	
 12698 	 0.162086 	
 13198.9 	 0.162261 	
 13697.5 	 0.162421 	
 14198.6 	 0.16257 	
 14697.8 	 0.162704 	
 15197.7 	 0.162822 	
 15697.8 	 0.162925 	
 16196.4 	 0.163014 	
 16697 	 0.163084 	
 17195.5 	 0.163137 	
 17695.6 	 0.163161 	
 18193.6 	 0.163155 	
 18692.7 	 0.163092 	
 19188.5 	 0.162917 	
 19684.8 	 0.162568 	

	
	
